word;label;value;num
asustar;Miedo;0.864;1
atacar;Enojo;0.832;1
ataque;Enojo;0.899;1
atarantar;Sorpresa;0.132;1
atemorizado;Miedo;0.932;1
atemorizante;Miedo;0.932;1
atemorizar;Miedo;0.932;1
atento;Miedo;0.099;1
aterrado;Miedo;0.966;1
aterrador;Miedo;1;1
aterradoramente;Miedo;1;1
aterrar;Miedo;1;1
aterrorizador;Miedo;0.966;1
aterrorizar;Miedo;0.966;1
atizar;Enojo;0.465;1
atolondrar;Sorpresa;0.199;1
atónito;Sorpresa;0.799;1
atontamiento;Sorpresa;0.232;1
atontar;Sorpresa;0.232;1
atormentadamente;Tristeza;0.496;1
atosigar;Enojo;0.563;1
atrabiliario;Enojo;0.664;1
atracción;Alegria;0.663;1
atractivo;Alegria;0.696;1
atraer;Alegria;0.631;1
atrapar;Sorpresa;0.463;1
atrayente;Alegria;0.53;1
atrayentemente;Alegria;0.497;1
atribular;Tristeza;0.529;1
atrición;Tristeza;0.495;1
atrocidad;Enojo;0.331;1
atronar;Sorpresa;0.265;1
atropellar;Enojo;0.398;1
atropello;Enojo;0.397;1
atufar;Enojo;0.398;1
aturdimiento;Sorpresa;0.165;1
aturdir;Sorpresa;0.165;1
aturrullar;Sorpresa;0.165;1
aturullar;Sorpresa;0.165;1
autocomplacencia;Alegria;0.63;1
autorización;Alegria;0.397;1
autorrespeto;Alegria;0.598;1
autosatisfacción;Alegria;0.798;1
autosatisfecho;Alegria;0.796;1
autosuficiencia;Alegria;0.764;1
avergonzado;Miedo;0.297;1
aversión;Repulsion;0.629;1
ávido;Alegria;0.198;1
avivar;Alegria;0.33;1
azoramiento;Miedo;0.529;1
azorar;Miedo;0.696;1
azuzar;Enojo;0.264;1
bajo;Tristeza;0.264;1
baquetear;Enojo;0.365;1
barbaridad;Enojo;0.364;1
barbarie;Miedo;0.463;1
basca;Repulsion;0.865;1
bascosidad;Repulsion;0.798;1
bascoso;Repulsion;0.664;1
basura;Repulsion;0.796;1
batallar;Enojo;0.463;1
batir;Sorpresa;0.066;1
belicosidad;Enojo;0.53;1
belicoso;Enojo;0.53;1
beligerante;Enojo;0.396;1
benefactor;Alegria;0.562;1
beneficencia;Alegria;0.596;1
beneficiado;Alegria;0.83;1
beneficiar;Alegria;0.729;1
beneficio;Alegria;0.898;1
beneficiosamente;Alegria;0.797;1
beneficioso;Alegria;0.864;1
benéfico;Alegria;0.831;1
beneplácito;Alegria;0.564;1
benévolamente;Alegria;0.462;1
benevolencia;Alegria;0.462;1
benevolente;Alegria;0.528;1
benévolo;Alegria;0.495;1
benignamente;Alegria;0.465;1
benigno;Alegria;0.465;1
berrinche;Enojo;0.629;1
bien;Alegria;0.798;1
bienandanza;Alegria;0.765;1
bienaventurado;Alegria;0.831;1
bienaventuranza;Alegria;0.63;1
bienestar;Alegria;0.932;1
bienhechor;Alegria;0.695;1
bienquerencia;Alegria;0.729;1
bienquerer;Alegria;0.762;1
bilis;Enojo;0.532;1
birria;Repulsion;0.331;1
bizbirondo;Alegria;0.899;1
bizco;Sorpresa;0.265;1
blando;Alegria;0.198;1
blandura;Alegria;0.132;1
bobalicón;Sorpresa;0.066;1
bobo;Sorpresa;0.099;1
bochinche;Enojo;0.363;1
bombo;Sorpresa;0.331;1
bondad;Alegria;0.696;1
bondadosamente;Alegria;0.696;1
bondadoso;Alegria;0.763;1
bonhomía;Alegria;0.462;1
boquiabierto;Sorpresa;0.799;1
borracho;Repulsion;0.563;1
bravo;Enojo;0.563;1
brillante;Alegria;0.663;1
brío;Alegria;0.463;1
brioso;Alegria;0.463;1
bromear;Alegria;0.831;1
bruja;Miedo;0.495;1
brujo;Miedo;0.495;1
bruto;Sorpresa;0.165;1
bueno;Alegria;0.898;1
bufar;Enojo;0.532;1
bullanguero;Alegria;0.664;1
bullicioso;Alegria;0.664;1
burla;Alegria;0.364;1
burlar;Alegria;0.431;1
cabal;Alegria;0.264;1
cabizbajo;Tristeza;0.898;1
cabizcaído;Tristeza;0.898;1
cabrear;Enojo;0.597;1
caca;Repulsion;0.898;1
cadaver;Miedo;0.697;1
caer;Tristeza;0.528;1
caerse;Tristeza;0.462;1
caída;Tristeza;0.529;1
caído;Tristeza;0.528;1
calaca;Miedo;0.462;1
calamidad;Miedo;0.396;1
calamitoso;Miedo;0.363;1
calidez;Alegria;0.628;1
cálido;Alegria;0.43;1
caliente;Alegria;0.264;1
calmado;Alegria;0.231;1
calofrío;Miedo;0.463;1
calor;Alegria;0.099;1
calurosamente;Alegria;0.365;1
calvario;Tristeza;0.763;1
camaradería;Alegria;0.63;1
campante;Alegria;0.529;1
cancamurria;Tristeza;0.799;1
captivar;Alegria;0.43;1
capturar;Alegria;0.099;1
carcajada;Alegria;0.932;1
carcel;Tristeza;0.596;1
carecer;Tristeza;0.529;1
cargar;Tristeza;0.33;1
cargoso;Enojo;0.363;1
caridad;Alegria;0.63;1
cariño;Alegria;0.864;1
cariñosamente;Alegria;0.764;1
cariñoso;Alegria;0.83;1
caritativo;Alegria;0.63;1
carroña;Repulsion;0.864;1
castigo;Tristeza;0.595;1
cautivador;Alegria;0.628;1
cautivadoramente;Alegria;0.595;1
cautivar;Alegria;0.562;1
celebrar;Alegria;0.933;1
celo;Alegria;0.132;1
celos;Enojo;0.63;1
celosamente;Alegria;0.066;1
celoso;Alegria;0.033;1
cetrino;Tristeza;0.165;1
chalar;Enojo;0.232;1
chancear;Alegria;0.698;1
chanza;Alegria;0.598;1
chasco;Sorpresa;0.399;1
chinche;Enojo;0.396;1
chotear;Alegria;0.665;1
choteo;Alegria;0.564;1
chulear;Alegria;0.629;1
cicatriz;Repulsion;0.396;1
cinismo;Enojo;0.298;1
cizañar;Enojo;0.463;1
clemente;Alegria;0.264;1
coágulo;Repulsion;0.397;1
cochino;Repulsion;0.562;1
coger;Sorpresa;0.429;1
cogida;Alegria;0.199;1
cogollo;Alegria;0.066;1
cohibición;Miedo;0.463;1
cohibidamente;Miedo;0.43;1
cohibir;Miedo;0.496;1
cólera;Enojo;0.73;1
coléricamente;Enojo;0.83;1
colérico;Enojo;0.762;1
colmar;Alegria;0.165;1
colosal;Alegria;0.463;1
cómodamente;Alegria;0.629;1
comodidad;Alegria;0.662;1
cómodo;Alegria;0.695;1
compadecer;Tristeza;0.564;1
compañerismo;Alegria;0.73;1
compatibilidad;Alegria;0.496;1
compatible;Alegria;0.462;1
compatiblemente;Alegria;0.363;1
compensación;Alegria;0.331;1
complacencia;Alegria;0.629;1
complacer;Alegria;0.73;1
complacible;Alegria;0.595;1
complacido;Alegria;0.864;1
complaciente;Alegria;0.73;1
comprensivo;Alegria;0.562;1
compunción;Tristeza;0.464;1
compungidamente;Tristeza;0.331;1
compungir;Tristeza;0.397;1
concernir;Alegria;0.066;1
concitar;Enojo;0.363;1
condescender;Alegria;0.363;1
condescendiente;Alegria;0.396;1
condimento;Alegria;0.099;1
condoler;Tristeza;0.796;1
confiado;Alegria;0.297;1
confirmación;Alegria;0.363;1
confirmar;Alegria;0.363;1
confort;Alegria;0.596;1
confortable;Alegria;0.663;1
confortablemente;Alegria;0.595;1
confortación;Alegria;0.529;1
confortador;Alegria;0.496;1
confortar;Alegria;0.529;1
confraternidad;Alegria;0.73;1
confundir;Sorpresa;0.264;1
confusión;Sorpresa;0.264;1
congeniar;Alegria;0.628;1
congoja;Tristeza;0.496;1
congojoso;Tristeza;0.529;1
congraciar;Alegria;0.594;1
congratular;Alegria;0.731;1
conminar;Miedo;0.529;1
conmiseración;Alegria;0.066;1
conmoción;Sorpresa;0.631;1
conmocionar;Sorpresa;0.663;1
conmover;Alegria;0.165;1
conquista;Alegria;0.463;1
